genes,Symbol,logFC,unshrunk.logFC,logCPM,PValue,FDR
EEF1A1P9,NA,-2.183088612,-2.18365006,5.122763652,5.33E-08,3.49E-06
EREG,NA,-2.185294639,-2.186595063,3.919021932,1.71E-05,0.000740643
CHRND,NA,-2.189405923,-3.071216783,-2.970610758,0.000210181,0.007062229
KNDC1,NA,-2.194009263,-2.203065936,1.187103717,3.95E-06,0.00019469
WBP11P1,NA,-2.197626117,-2.252349542,-1.109375713,2.98E-07,1.73E-05
FLJ46111,NA,-2.202327525,-2.330240376,-1.953160526,4.33E-07,2.45E-05
CELF3,NA,-2.202822926,-2.20993135,1.531557747,6.04E-05,0.00231878
NCAN,NA,-2.213666912,-2.280768093,-1.32031708,1.37E-05,0.000598944
CAPSL,NA,-2.217869571,-2.778410832,-2.825467491,0.000132712,0.004689471
ASPDH,NA,-2.218686099,-2.29451221,-1.448155817,0.000262816,0.008591739
LOC339535,NA,-2.220531511,-2.248674538,-0.288755417,0.000365899,0.011347286
CXADRP3,NA,-2.224768499,-2.424391039,-2.286767611,1.38E-06,7.27E-05
ALOX15,NA,-2.22556535,-2.234237789,1.280118819,1.95E-05,0.000831324
DNAH11,NA,-2.227306791,-2.261933236,-0.544221779,1.18E-07,7.26E-06
POU4F1,NA,-2.229293165,-2.250147614,0.100993423,0.000303327,0.009714996
ARG1,NA,-2.231282392,-2.341641208,-1.806110489,2.59E-06,0.000130182
C9orf171,NA,-2.233573792,-2.412071403,-2.193162877,4.20E-06,0.000205623
SYNPO2L,NA,-2.238465366,-2.252716047,0.613909849,1.21E-05,0.000543074
AIRE,NA,-2.244482845,-2.309388066,-1.255712633,8.57E-05,0.003198449
LCE3A,NA,-2.247737679,-6.663920192,-3.156029375,0.000506486,0.015135609
KCNU1,NA,-2.248170142,-3.141635251,-2.961196302,4.17E-05,0.001649392
C6orf118,NA,-2.251265378,-2.5864979,-2.583848491,0.000126474,0.004484463
VWA5B1,NA,-2.25354724,-2.273675735,0.174815558,0.000314073,0.009965884
DMP1,NA,-2.259269176,-2.324350004,-1.244818123,6.29E-06,0.000300932
CLEC2A,NA,-2.261532206,-3.470380177,-3.024322849,0.000335313,0.01054208
FAM55A,NA,-2.26256662,-2.311193254,-0.914334144,0.0008038,0.022761392
BEST3,NA,-2.269058895,-2.308695529,-0.6696296,2.89E-05,0.001181846
SRRM4,NA,-2.279575348,-2.34722588,-1.271440767,2.56E-05,0.001068971
HSPB1P1,NA,-2.303721957,-2.327248552,0.020733403,1.59E-08,1.09E-06
HP,NA,-2.304946326,-2.309381453,2.301047713,0.000266657,0.008668032
WFDC12,NA,-2.311467227,-2.387019745,-1.372077172,0.000143955,0.005017636
TRDN,NA,-2.31434665,-2.483028299,-2.098019882,8.73E-05,0.003247938
PAX7,NA,-2.320023768,-2.573855433,-2.389381656,0.000124256,0.004436476
KRTAP4-1,NA,-2.320720958,-2.359698027,-0.597866057,0.000310515,0.009868226
DLL3,NA,-2.322650511,-2.33524106,0.867587878,5.87E-05,0.002258487
RLBP1,NA,-2.324234715,-2.451203564,-1.859541037,7.36E-06,0.000345853
DSG1,NA,-2.33971353,-2.342191583,3.163896999,0.000878783,0.024579589
PLAC4,NA,-2.351243639,-2.353796232,3.134552247,1.76E-09,1.37E-07
CCDC67,NA,-2.35933453,-2.493979516,-1.889792284,5.18E-06,0.00025119
KLK13,NA,-2.36158761,-2.362132608,5.359519805,0.000627411,0.018218889
ZNF365,NA,-2.365380553,-2.370879166,2.06140054,2.84E-07,1.65E-05
GRB7,NA,-2.369347989,-2.369531037,6.93954577,1.13E-09,9.02E-08
11-Mar,NA,-2.373784926,-3.063509555,-2.843568304,4.18E-05,0.001649392
C13orf38,NA,-2.37401201,-2.427072034,-0.921938824,1.11E-06,5.90E-05
TNNT3,NA,-2.374183168,-2.425277325,-0.865653953,0.000125995,0.004478641
FAM19A4,NA,-2.375668049,-2.383502229,1.577036607,0.000908609,0.025276076
SERPINE3,NA,-2.380619663,-2.476030598,-1.544838311,1.33E-05,0.00058394
ADCY8,NA,-2.385622558,-2.668340678,-2.428554009,0.000288708,0.009290243
SPINK4,NA,-2.386125078,-2.386469342,6.04738629,0.000524035,0.015546873
FIBCD1,NA,-2.39011723,-2.393266096,2.876966798,9.52E-06,0.000435148
SCEL,NA,-2.394536266,-2.394964339,5.742545526,0.000484707,0.014548285
MAEL,NA,-2.396581036,-2.416971987,0.299353062,3.14E-05,0.001278828
SPINK6,NA,-2.397728336,-2.574500443,-2.099527303,0.00107517,0.029391791
HRH3,NA,-2.398788031,-2.49689903,-1.553756424,0.000236643,0.007847381
C17orf54,NA,-2.399152595,-2.953304405,-2.770569265,0.000117614,0.004237448
UGT1A7,NA,-2.406977279,-2.417420823,1.209808603,0.000399925,0.012217952
TM4SF4,NA,-2.431594878,-2.432091608,5.568159568,1.80E-06,9.35E-05
DPPA3,NA,-2.432534473,-2.600778035,-2.026246644,0.000951173,0.026353006
KIAA1239,NA,-2.451141269,-2.470864979,0.395930606,9.19E-10,7.40E-08
ITIH2,NA,-2.452226035,-2.456099615,2.648474246,0.000134669,0.004750422
CYP4F8,NA,-2.462137018,-2.645091691,-2.074089156,0.00011765,0.004237448
WFDC5,NA,-2.463167372,-2.500283604,-0.411665803,0.001259708,0.03385052
VTN,NA,-2.46730021,-2.467823011,5.532626739,1.84E-05,0.000790994
DNAI1,NA,-2.476693428,-2.724237042,-2.29060161,7.72E-06,0.000361643
HRG,NA,-2.477933569,-2.843040336,-2.53520027,9.75E-06,0.000444823
H2BFM,NA,-2.483305792,-3.408066529,-2.901235723,0.000121867,0.004374015
KLK12,NA,-2.48803005,-2.491911622,2.682754326,0.000189423,0.006459899
SERPIND1,NA,-2.493797169,-2.502422078,1.565436322,4.70E-07,2.63E-05
ERBB2,NA,-2.496195122,-2.496227449,9.57580204,9.92E-13,1.15E-10
NACAP1,NA,-2.500516188,-2.534732092,-0.272321139,1.06E-10,9.66E-09
IL1F5,NA,-2.500523853,-2.509112953,1.576846498,0.001730063,0.044789638
RFX4,NA,-2.506527128,-2.625663768,-1.670304713,2.15E-06,0.000110405
KIF1A,NA,-2.512276908,-2.514120609,3.770187826,2.09E-05,0.000890356
KCNQ2,NA,-2.512681645,-2.547425436,-0.275760385,2.72E-06,0.000135149
HS3ST6,NA,-2.518852039,-2.541723429,0.265126916,0.0001145,0.004145821
FGL1,NA,-2.520141306,-2.525975549,2.140483619,0.00041718,0.012707277
NTSR1,NA,-2.52651311,-2.530395473,2.722666325,7.65E-08,4.85E-06
KRTAP9-4,NA,-2.528005764,-3.451688826,-2.900808323,0.000236989,0.007847381
CDH4,NA,-2.546532575,-2.613438368,-1.033656519,1.68E-09,1.32E-07
LOC643387,NA,-2.54990339,-2.689931227,-1.791835673,5.36E-09,3.90E-07
CNPY1,NA,-2.564757191,-2.746769498,-2.006064031,2.16E-05,0.000916543
TMIGD1,NA,-2.566203962,-2.83855617,-2.29560129,8.05E-05,0.00303427
PROL1,NA,-2.567088144,-3.383823768,-2.849215938,5.75E-05,0.002218689
MUC12,NA,-2.56890053,-2.57050703,4.026964347,6.33E-08,4.08E-06
LOC100130331,NA,-2.579409134,-2.617801643,-0.341465132,4.75E-09,3.48E-07
MSLNL,NA,-2.611429092,-2.738277835,-1.648040977,2.05E-06,0.000106089
UGT2A1,NA,-2.615961413,-2.898255477,-2.306036615,8.09E-07,4.42E-05
UPK1A,NA,-2.617009379,-2.63135526,0.987899825,4.26E-05,0.001674538
KLK14,NA,-2.652638403,-2.715116128,-0.868849474,3.45E-09,2.59E-07
AKAP4,NA,-2.652792081,-2.826247271,-1.912510281,2.67E-06,0.000133637
KRTAP4-8,NA,-2.658186333,-3.602740434,-2.864618172,0.000139337,0.004881561
FLG2,NA,-2.658925539,-2.769682359,-1.488774872,5.70E-06,0.000275374
SLC17A1,NA,-2.663323383,-3.197709854,-2.633156647,2.66E-05,0.001105949
VAX1,NA,-2.667167661,-2.880587965,-2.069308749,3.79E-05,0.00151571
MYBPHL,NA,-2.669596809,-2.728393744,-0.773949149,1.74E-06,9.12E-05
LOC647309,NA,-2.683339929,-2.872296053,-1.952927909,8.88E-06,0.000411023
LOC442454,NA,-2.693081545,-2.715405153,0.466498735,3.28E-14,4.75E-12
PLG,NA,-2.697128537,-4.314551392,-2.976708425,8.89E-06,0.000411023
SYT4,NA,-2.703077478,-2.716659491,1.149990387,5.09E-06,0.000248293
PSG1,NA,-2.717611104,-3.258508526,-2.64113886,0.000235265,0.00781552
KRTAP1-5,NA,-2.731645604,-3.149431925,-2.486714587,4.65E-07,2.61E-05
HTR3D,NA,-2.734002169,-3.784652953,-2.868893481,0.000233063,0.007755926
DDX53,NA,-2.748397646,-2.946113459,-1.950596403,4.07E-05,0.001615857
SLC17A8,NA,-2.782572513,-2.817327108,-0.02816859,1.88E-05,0.000806295
ACSM2A,NA,-2.797062172,-2.969367743,-1.808952152,8.22E-07,4.48E-05
CALCB,NA,-2.800648791,-3.020099829,-1.992044974,2.46E-06,0.000124194
DEFB103B,NA,-2.804029875,-2.849585514,-0.353581754,0.001216688,0.032866595
KRT1,NA,-2.815131818,-2.824593451,1.762660829,8.02E-06,0.000375066
UGT1A8,NA,-2.831457988,-2.879983675,-0.401740253,2.29E-06,0.000116506
XKR7,NA,-2.837929395,-2.872767393,0.024523831,2.69E-05,0.001112834
LOC146336,NA,-2.845477598,-2.855543072,1.70894898,1.56E-08,1.06E-06
CGA,NA,-2.846662126,-2.867610995,0.703561844,3.95E-05,0.001573857
TEKT1,NA,-2.847509805,-3.784052118,-2.792750109,9.40E-06,0.00043059
