"genes","Symbol","logFC","unshrunk.logFC","logCPM","PValue","FDR"
"TTC24",NA,2.77656171678009,2.87743158543353,-1.2945154171752,3.85178558117635e-17,7.75266254721083e-15
"MYBPH",NA,5.43045963773956,5.71906691196327,-0.257547439543645,4.21231300757403e-17,8.39599864519368e-15
"PNOC",NA,2.76465950688918,2.77751360480339,1.2879503586505,4.35045470110398e-17,8.58796490516008e-15
"IL10RA",NA,2.05424909148275,2.05466579633668,5.40877209887333,5.43462449920292e-17,1.06259848541558e-14
"KIAA0748",NA,2.29201887738444,2.29868112222567,1.7143999453599,6.761287152921e-17,1.30952099291951e-14
"FCRL4",NA,2.97410075279595,3.01761627004778,-0.141008431239719,8.56796200262921e-17,1.64392766274745e-14
"IL16",NA,2.02393714568687,2.02446763343575,5.02731581766703,9.53789300830926e-17,1.81308280982027e-14
"NLRC3",NA,1.98842788273296,1.98967701083545,3.75765962791541,1.01829651798679e-16,1.91794747837329e-14
"FCRL5",NA,2.68341964270458,2.68560328917211,3.70717092315137,1.09375163380614e-16,2.04133827654909e-14
"P2RY10",NA,2.39197023874828,2.39566959422411,2.64948668163572,1.34525133947558e-16,2.48810900895799e-14
"ITK",NA,2.23820700344419,2.23998207256245,3.53110812466705,2.03537985453529e-16,3.73092396550085e-14
"SLAMF1",NA,2.08525104300319,2.08990713485916,1.99395861188728,2.41686239132557e-16,4.35603500078251e-14
"KLHL6",NA,2.19681596489418,2.19774512008505,4.413673478548,2.41884067262156e-16,4.35603500078251e-14
"BTK",NA,2.24509750894162,2.24716215547631,3.32267592376995,4.70469884673394e-16,8.39891020203894e-14
"FUT7",NA,2.27308465903942,2.30218999320503,-0.280481466428605,4.77203670150421e-16,8.44568219671392e-14
"IL12RB1",NA,2.00656387133311,2.0092473123924,2.68806946175757,6.85542199756285e-16,1.20292148384586e-13
"CNR2",NA,3.17700358240909,3.19972388286002,0.908179770422288,1.006516300168e-15,1.75116776630923e-13
"CD5",NA,2.21324285467693,2.21447894449814,4.02212952533945,1.08064813735857e-15,1.85434776926956e-13
"POU2F2",NA,2.26432158016929,2.26503522970654,4.86640859256907,1.08388569075668e-15,1.85434776926956e-13
"CLECL1",NA,2.4146864895027,2.43739975348685,0.168551017867911,1.10685787076853e-15,1.87799934602298e-13
"ADAM6",NA,3.09447046517307,3.09447456470725,13.1792263247662,1.33933345586923e-15,2.25381277450781e-13
"S1PR4",NA,2.15072732983781,2.15377519713617,2.66629062302543,1.42164218115445e-15,2.37287105521146e-13
"ADORA2A",NA,1.97945118603882,1.98138704396975,3.12149466476693,1.55756158975569e-15,2.57876930949067e-13
"HLA-DOB",NA,2.50992213182511,2.51358924748681,2.7858987985944,1.64811759625179e-15,2.70686834008394e-13
"DOK2",NA,1.84982243029059,1.85125865711871,3.40030953884089,1.67449635776078e-15,2.72836589085943e-13
"FLG",NA,-4.42166706147387,-4.4291814468833,3.69813761158994,2.07515631165224e-15,3.35456370694649e-13
"GPR18",NA,2.24735310615828,2.25695740538107,1.16085558077602,2.16414553578687e-15,3.47108655075816e-13
"TBX21",NA,2.14531777087161,2.15634117717159,0.863242189784413,2.39113788228428e-15,3.80543106382141e-13
"LCT",NA,-4.77027007212416,-4.78495531196999,3.08954957534771,2.54626799524778e-15,4.02114476480283e-13
"MEI1",NA,2.31645185096123,2.32002094416496,2.61980075788276,3.4956754408807e-15,5.47833716040311e-13
"TIMD4",NA,3.2215001596256,3.26947550184176,-0.0317360764469443,4.44510021219643e-15,6.91347783002975e-13
"SP140",NA,2.15785471788977,2.15984583985936,3.279432637186,4.88653411330511e-15,7.54289814632736e-13
"LOC96610",NA,2.78690706425392,2.78691336988136,12.2397974256355,7.04906742583848e-15,1.0799802556154e-12
"C5orf20",NA,2.24408829773991,2.25812516216897,0.639437725837829,1.14701937870187e-14,1.74431909961107e-12
"TIFAB",NA,2.31748671913205,2.33766791531001,0.229423454999942,1.72388373964927e-14,2.60230390992643e-12
"FGD2",NA,1.86511122528582,1.86631054825764,3.67569119240377,2.00037713070995e-14,2.99764543747995e-12
"CD8A",NA,2.23125390735521,2.23208538767782,4.61104778905294,2.44831268263802e-14,3.64230865033033e-12
"HCLS1",NA,1.85813372103455,1.8585191104641,5.29757745272128,2.67075632083974e-14,3.94464944365754e-12
"GPSM3",NA,1.81899307248273,1.81953199963634,4.76970289821483,2.75680117080522e-14,4.04265200261651e-12
"LOC442454",NA,-2.69308154489622,-2.71540515342396,0.466498735080205,3.28048399675195e-14,4.75075542732089e-12
"HCST",NA,2.04640357587656,2.04793756035062,3.52914335352522,3.28595845435736e-14,4.75075542732089e-12
"CD180",NA,2.23541622320148,2.23701257144297,3.67998470391109,3.59509298258333e-14,5.16134677849201e-12
"LPXN",NA,1.9062302130774,1.90680691157228,4.77342255048275,4.55252752764962e-14,6.49051320435046e-12
"GPR174",NA,2.31412608773915,2.3326015344605,0.344164801753155,5.54115421108038e-14,7.84551006575726e-12
"SNAI3",NA,1.849288745043,1.85532882665606,1.37217609968599,5.5817952104495e-14,7.84892162126906e-12
"PLA2G2D",NA,2.86999029541928,2.87286366853817,3.50810231643341,5.9081192224325e-14,8.22593944602459e-12
"LY6G6C",NA,-3.53478249048417,-3.54756262633372,2.06244023527966,5.93004889435771e-14,8.22593944602459e-12
"CD72",NA,2.11037213551945,2.113500231439,2.58430624710502,6.62713322746167e-14,9.13121108454953e-12
"FTHL3",NA,-3.05523373752639,-3.06289422143368,2.30284577956484,7.05542039881641e-14,9.65651871918006e-12
